id,name,model,res_id,noupdate
demo_ubo_1,project_compliance,res.partner.ubo,1,1
demo_ubo_2,project_compliance,res.partner.ubo,2,1
demo_business_relationship_1,project_compliance,business.relationships,1,1
demo_business_relationship_2,project_compliance,business.relationships,2,1
demo_business_relationship_3,project_compliance,business.relationships,3,1
demo_business_relationship_4,project_compliance,business.relationships,4,1
demo_business_shareholder_1,project_compliance,res.partner.business.shareholder,1,1
demo_business_shareholder_2,project_compliance,res.partner.business.shareholder,2,1
demo_business_shareholder_3,project_compliance,res.partner.business.shareholder,3,1
demo_shareholder_address_1,project_compliance,business.shareholder.address,1,1
demo_shareholder_address_2,project_compliance,business.shareholder.address,2,1
demo_shareholder_address_3,project_compliance,business.shareholder.address,3,1
demo_shareholder_address_4,project_compliance,business.shareholder.address,4,1
demo_compliance_project_1,project_compliance,project.project,1,1
demo_compliance_project_2,project_compliance,project.project,2,1
demo_partner_1,project_compliance,res.partner,1,1
demo_partner_2,project_compliance,res.partner,2,1
demo_contact_1,project_compliance,res.partner,3,1
demo_contact_2,project_compliance,res.partner,4,1
